1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0.89903,-0.60583,-0.69917,-0.69797,-0.3301,0.38905,-0.45229,-0.97713,0.27574,-0.75149,0.06657,-0.1662,0.39167,0.43049,-0.83628,-0.12439,-0.090438,-0.6272,1.2216,-0.46736,-1.1112,-0.29855,0.040628,0.045006,-0.32309,-0.28338,0.30061,-0.021033,0.046425,0.67183,-0.85212,-0.76816,0.51497,-0.3789,-0.16465,-0.33131,-0.46725,0.012901,-0.69702,0.2097,-0.4301,-1.6236,-0.22055
-1.3612,0.47164,0.24637,0.040991,0.53331,1.3664,1.4481,2.1368,0.2398,0.23757,0.83511,0.71715,0.44781,0.88973,0.20438,0.72876,1.5397,1.0771,-0.35467,0.34622,-0.72833,-0.40732,0.915,-0.4745,-0.062535,-0.26275,0.54451,0.39269,0.015917,-0.83794,-1.0216,-0.60815,0.93647,0.41396,-0.43068,-0.080945,-0.1855,-0.24101,-0.73169,-0.28399,0.32319,0.281,-1.2453
0.51086,-0.1486,0.95727,0.55422,-0.11629,-0.74032,-0.35876,-0.62133,-1.1693,0.6423,0.19533,0.43814,0.68584,-0.24458,1.2135,-0.44484,0.9055,0.28749,-0.14567,-0.21643,0.21885,0.75728,0.97647,0.43405,-0.17032,-0.43192,-0.25918,-0.30669,1.2133,-1.0005,-0.44346,-0.36581,-1.1303,-0.37988,-0.3579,-0.55772,-0.048589,-0.27126,-0.60791,0.68548,0.51082,-0.33204,0.9729
0.64884,0.83787,1.1816,0.70264,-0.13894,-1.0335,-0.70654,-0.49617,-0.89865,0.77358,0.2999,0.77317,0.3489,0.057639,1.8284,0.043803,-1.158,1.3532,-0.44699,-0.18361,-0.020244,0.55685,0.95357,0.52358,-0.33128,-0.39771,-0.21992,-0.38685,1.6693,-1.326,-0.76198,-0.66669,-1.0498,-0.04183,-0.13201,-0.38431,0.0087314,0.10737,-0.6839,1.1313,0.52295,0.24324,1.1258
0.71594,-0.99507,-1.2136,-2.2879,-1.3433,0.011297,0.17596,0.35607,0.30044,-0.908,-0.58559,-0.74618,0.076999,-1.1055,-1.4155,-1.0067,-0.035885,-1.1122,1.1941,-0.73426,-1.3621,-1.0688,-1.0809,-1.0307,-0.14539,-0.66413,0.65645,0.40252,-1.022e-05,-0.8292,-0.756,-0.63758,-2.8266,-0.79624,-0.15621,-0.43995,-0.31864,0.045003,0.32026,-1.9852,-2.5323,-2.2661,-0.98634
-0.20583,0.53754,-0.48122,0.38723,0.23833,1.0772,-0.49293,2.5871,0.66265,-0.20802,-0.45513,0.14253,-0.27886,0.51512,-0.99114,-0.30054,0.33312,0.53801,-2.184,-0.1594,0.19001,-0.42771,-0.85103,-1.3826,0.6524,1.6816,-0.37296,0.73704,-2.9639,0.037583,0.74973,0.81235,-1.2865,0.88834,-0.38149,-0.18302,-0.1641,-0.12161,0.24184,1.0449,0.55006,0.83551,-0.74616
0.5383,-2.1344,-1.601,-1.5796,0.96489,-0.33999,-0.18511,-0.7044,-0.66768,-0.55006,-0.50457,-0.79552,-0.64178,-0.62375,-1.0447,-0.3411,-0.91513,-1.0102,-0.14645,-1.5528,-1.2024,-2.0656,-1.7384,-1.8904,-1.3667,-0.28904,-1.3031,-1.4336,-0.19148,0.77415,0.57169,-0.38133,0.68484,-0.15555,-0.34729,-0.23523,-0.061476,0.030664,-0.33455,-1.7351,-2.445,-1.2805,-0.78373
0.35289,0.13515,1.1167,0.49918,-0.46716,-1.2772,-0.16299,-0.47007,-0.69183,0.73239,0.58384,0.96986,0.29767,-0.34578,1.228,-0.33069,-1.498,1.5158,-0.22541,-0.49892,0.47118,0.99002,0.31154,0.90649,-0.25503,-0.26249,0.25577,-0.028722,1.5539,-0.83856,-0.61637,-0.80696,-0.84939,-1.0504,-0.26566,-0.54438,-0.48593,0.061388,-0.7834,0.56128,0.36852,-0.27171,1.2542
-1.9493,0.83835,0.58984,-0.47947,1.4838,1.5467,2.2714,0.31647,0.40117,2.2607,1.4503,0.68214,0.98605,-0.57364,0.94192,0.7614,1.7398,-1.023,-0.25378,1.484,1.3094,1.346,0.91185,1.9457,2.2067,2.9675,1.0477,2.1625,1.9154,-1.1659,-0.25806,-0.57704,0.43666,-0.29285,-0.22674,-0.33097,-0.058252,-0.15392,-0.6681,-0.52294,-0.72362,0.6241,-1.0695
0.23296,0.61135,-0.55248,1.029,-0.24936,1.4909,0.70199,1.702,-0.10452,-0.38875,-0.48831,-0.4518,-0.26789,0.38967,-1.0088,-0.87352,0.53336,-0.13818,-0.052987,-0.0074734,0.066348,-0.23073,-1.2274,-1.3532,0.37189,1.5768,-0.93888,0.84122,-2.1801,0.050758,-0.017455,0.50461,1.1642,0.79069,-0.0073304,0.54437,1.7354,0.0025037,0.61566,0.16411,1.0551,1.337,-0.85145
0.24732,0.27022,0.85799,1.1639,-0.43598,-1.1729,-0.37673,-0.65666,-0.61173,-0.11643,0.032354,0.52197,0.04348,-0.52438,0.65725,-0.67555,-1.6395,0.74004,-0.31454,-0.39818,-0.52353,0.46152,-0.49191,0.23754,-0.63952,-0.39347,-0.28231,-0.34214,0.7895,-0.36364,-0.57425,-0.33796,0.68066,-0.51047,-0.096248,-0.71806,-0.039599,0.023108,-0.32161,1.1575,1.1557,0.16649,1.3217
0.88552,-1.3432,-1.1799,-1.7982,0.91828,0.50844,0.18422,-0.35643,-0.022451,0.024325,0.12108,-0.52888,0.56176,1.0888,-0.63909,0.37766,0.44876,-1.0967,1.4467,-0.46607,-0.1142,-0.10889,-0.18706,0.27526,0.40863,-0.15006,0.6761,0.40344,-0.011723,1.024,1.1826,-0.25541,0.58101,-0.30997,-0.23395,-0.82482,-0.15024,-0.056984,-0.60699,-1.5652,-1.402,-1.3949,-1.2563
-0.73901,0.93771,-0.31596,1.0037,-0.18096,1.379,1.1397,1.9258,-0.41468,-0.11252,-0.10042,0.058273,-0.56883,0.94294,-0.39562,0.26791,0.74547,-0.075433,-0.55315,0.013191,-0.45997,-1.0451,-0.11385,-1.4873,0.53375,1.3858,-0.022645,0.97624,-2.1223,0.7284,0.9387,1.5293,-0.53036,0.91952,-0.21205,0.22829,0.479,-0.14591,1.0813,0.81712,1.2906,1.3477,0.93546
0.82661,-2.4847,-1.3124,-2.0867,-0.48344,-0.84934,0.23554,-0.37034,0.15962,-1.0517,-0.2003,-0.31794,0.25942,-1.1775,-1.6897,-1.3967,0.17123,-1.2556,1.3971,-0.96969,-1.2073,-0.81389,-1.5442,-0.56892,1.3473,-0.76247,1.6279,0.57058,0.29801,1.1907,0.83662,-0.38696,-0.087348,-0.14755,-0.0099615,-0.29854,-0.01438,-0.35571,-0.62426,-1.8257,-1.7713,-1.652,-0.86805
0.68884,-2.1863,-1.8779,-1.114,-1.6137,0.19793,0.078797,0.13294,-0.14671,-1.1631,-0.19687,-2.2669,0.023986,0.55134,-0.90818,-0.89905,-0.14731,-1.5137,0.2945,-0.81872,-1.8283,-0.22995,-0.35871,-0.23686,-0.066565,-0.45403,-0.12384,-0.19983,0.019503,1.0412,-0.20949,-0.43379,-1.0267,-0.76909,2.1246,1.7456,-0.20382,-0.023813,-0.55938,-1.8287,-1.8882,-1.0141,-1.328
-1.2119,0.80124,0.50557,0.61043,0.20145,1.402,1.9199,-0.63519,0.61785,1.0929,2.2153,1.0899,0.49175,-1.5503,1.1509,0.76679,1.6429,1.4303,-0.33777,0.88667,-0.40123,-0.61233,0.19721,-0.36538,0.63424,-0.62769,0.8883,0.82206,0.20195,-1.3867,-0.67808,-0.57424,0.12649,0.30197,-0.38398,-0.49345,0.28172,-0.21417,2.3038,0.24682,0.17011,1.0059,-0.99938
0.13951,0.55227,0.82424,0.94932,-0.14992,-1.2104,-0.35571,-0.74038,-0.94296,0.52191,0.13372,0.48795,0.61748,-0.092405,1.4391,0.097346,-1.4425,0.61384,-0.36097,-0.25424,0.65332,0.4694,-0.27103,0.37456,-0.00068565,-0.45684,0.0053669,-0.45013,0.52518,-1.2214,-0.60581,-0.59329,-0.62173,-0.28062,-0.7279,-0.70899,0.11624,-0.044712,-0.15978,1.1373,1.1252,0.49792,1.0449
0.60873,-0.40254,0.1803,-1.1592,0.24596,0.42079,1.4793,-0.33049,0.031083,0.10514,0.74245,0.15968,0.28774,0.4786,-0.17617,0.17653,0.9829,-1.3244,1.3287,-0.65378,-0.35241,-0.084159,-0.93381,0.018712,0.37209,-0.52241,0.70657,0.60847,0.15036,0.49566,0.094455,-0.2907,-0.63852,-0.05183,-0.6155,1.861,0.25187,-0.56966,-0.51081,-1.3155,-2.0623,-1.1818,-0.89329
0.30091,0.48826,0.64762,0.99539,-0.18305,-1.0883,-0.57622,-0.41005,-0.85151,0.29031,0.47108,1.0318,0.53675,-0.065611,0.89884,-0.39814,-1.5324,0.91612,-0.71923,-0.025986,0.0076743,0.49869,-0.27841,0.56544,-0.40804,-0.45833,0.077258,-0.056867,0.97193,-1.1279,-1.0058,-0.44638,0.52487,-0.25668,-0.22666,-0.38137,-0.24737,-0.31998,-0.53965,1.1784,1.2227,-0.018474,1.1302
0.31656,0.094671,1.0798,-0.099143,0.19224,-1.1131,-0.21801,-0.28877,-1.0063,0.27863,0.39419,0.59887,0.21307,-0.3959,0.74199,-0.49233,-1.472,1.3306,-0.5756,-0.088236,-0.074044,0.6505,0.1697,0.45145,0.072648,-0.70694,0.10665,-0.082718,0.65749,-1.3683,-0.81101,-0.44175,-0.29977,-0.25511,-0.20594,-0.50981,-0.090567,0.24399,-0.22296,0.6549,0.14188,-1.1982,1.0574
0.51486,-1.6183,-0.91089,-1.6044,-0.9298,0.064283,0.65136,-0.12844,-0.49754,-1.2864,-0.21489,-1.0261,0.41203,0.74329,-1.4595,-0.54871,0.11628,-1.5674,1.1611,-0.94785,-1.5671,-0.8526,-0.18764,-0.34389,0.37208,-0.28813,0.43467,-0.071083,0.33997,1.6033,1.5523,-0.66688,-1.2821,0.10628,5.587,3.5924,-0.35247,-0.28536,-0.24455,-1.3192,-1.425,-0.72007,-0.91407
-1.2101,1.1115,0.21385,1.3066,-0.12918,1.3395,-0.86934,1.9472,0.79744,0.67331,-0.51881,0.59208,0.25073,0.8823,-1.192,-0.99819,0.84003,-0.29624,-0.42856,0.42405,-0.26588,0.4133,-0.87461,-1.8543,1.3293,1.9886,-0.39974,1.2766,-2.2497,0.14218,0.56304,0.65547,-0.76684,1.1705,-0.17045,-0.38794,-0.26631,-0.24548,0.693,0.84316,1.7594,0.80528,0.55373
0.75407,-0.10219,0.49319,0.13671,-0.010808,-1.0081,-0.69497,-0.87026,-1.3692,0.33205,0.28371,0.60292,0.31967,0.021897,1.1494,-0.37683,1.141,1.5869,-0.34325,-0.014884,0.48112,0.85927,-3.6901,0.59544,-0.55541,-0.79794,-0.29336,-0.48379,1.4663,-1.0357,-1.1303,-0.58637,-1.4202,-0.43808,-0.32234,-0.44867,-0.41278,-0.091366,-0.33696,0.56685,0.47811,-0.23155,1.1005
0.28559,0.8799,0.64905,1.2389,-0.24109,-1.2762,-0.39608,-0.45545,-0.6501,0.43215,0.22306,0.72453,0.54249,0.043681,1.0074,-0.37718,-1.6616,0.60741,-0.45109,-0.446,0.13848,0.68062,0.18493,-0.088738,-0.50412,-0.6843,-0.33296,-0.34564,0.86488,-1.3915,-0.31805,-0.49044,0.12952,-0.39202,0.057559,-0.38641,-0.46647,-0.19412,-0.76018,1.057,1.3401,0.41721,1.4681
0.36138,0.077172,1.0398,0.4028,-0.28296,-1.2318,-0.73213,-0.72206,-0.97476,0.29801,0.30886,0.57412,0.71694,-0.28194,1.2131,-0.20618,-1.5155,1.3438,-0.61527,-0.56191,0.053883,0.59685,0.34986,0.44916,-0.36265,-0.35114,0.58585,-0.037682,0.96878,-1.5259,-0.33026,-0.15864,0.069063,0.32777,0.23448,-0.33386,-0.069561,-0.24124,-0.60206,0.44871,0.21476,-0.58908,1.0533
0.5788,-1.6538,-1.9012,-2.0224,-3.2433,0.26084,1.2022,-0.34942,-0.71694,-1.6007,-0.78771,-1.609,-2.1298,-1.1907,-1.1761,0.53893,0.67888,-1.04,1.6942,1.6703,0.34683,0.31302,-1.4718,0.19353,-0.18723,-0.29686,0.8566,-0.027811,0.25974,0.71098,0.82769,-0.57397,-0.078561,-0.24445,-0.37541,-0.49113,0.0003364,-0.090432,-0.16352,-2.1558,-2.52,-1.9585,-1.2296
-0.43063,0.96634,-0.13482,0.52654,-0.25152,0.99546,-0.19168,2.1436,0.5918,1.082,0.82012,-0.15753,0.086613,0.50946,-0.11677,0.0641,1.2279,-0.82405,-0.82257,0.64649,0.4746,0.79598,0.95631,0.32787,1.2559,0.054362,-1.3976,-1.4025,0.24067,1.2372,-0.60405,-0.39758,0.65993,-0.16379,-0.27874,-0.33901,-0.11606,0.4407,-0.35413,0.60849,0.95863,0.72699,-0.97379
1.1875,-1.5801,-0.76086,-1.298,-0.42283,0.047972,1.1677,-0.73414,-0.072401,-0.6815,-0.15454,-0.40636,0.32406,-0.54209,-0.31223,-0.88575,0.059924,-0.77161,2.6467,-0.36349,-0.25953,-0.77187,0.13817,0.020957,0.29569,-0.1923,1.3023,1.307,0.015887,0.3683,0.13331,-0.17642,0.53954,-0.54931,-0.2131,-0.27899,0.081644,-0.064942,-0.24204,-1.738,-1.8007,-0.83909,-0.94014
0.21986,0.42997,0.92252,1.169,-0.19406,-1.2938,-0.40753,-0.73078,-0.38154,0.74971,0.10511,0.48701,0.43972,0.13269,1.1413,-0.39071,-1.5091,0.62373,-0.16008,-0.2755,-0.078349,0.86554,0.13018,0.23211,0.040208,-0.36593,-0.17751,-0.28079,0.79165,-1.1344,-0.69273,-0.44403,-0.83359,0.0038995,-0.19929,-0.70897,-0.13716,0.059645,-0.62192,1.055,1.066,0.43259,1.5128
0.25725,0.79542,1.3128,1.3286,-0.21672,-1.0855,-0.18033,-0.68141,-0.37533,0.55984,0.39043,0.72999,0.2958,-0.10776,1.3483,-0.64929,-1.6648,0.82944,-0.44784,-0.27215,0.22616,0.60628,0.032754,0.24846,-0.10053,-0.43542,-0.55022,-0.20818,1.1906,-0.94513,-0.611,-0.2146,0.41472,-0.53592,-0.30962,-0.17048,0.12696,-0.28718,-0.8228,1.4096,0.89149,0.12177,1.1105
-0.030711,0.802,0.22607,0.54995,0.76441,0.78124,-0.50171,-0.35096,1.4596,0.85144,0.19629,0.70358,-0.058352,0.77818,-0.18639,-0.62167,-0.045649,1.3891,-1.1729,0.5552,0.4998,0.28342,-0.4769,-0.94008,0.99071,1.5583,0.31156,1.1958,-0.89208,0.72479,1.3933,1.5586,0.50887,-0.51599,-0.27817,-0.6335,-0.41561,-0.6737,-0.3427,0.32373,0.51345,1.3943,0.77996
0.68554,-0.86013,-0.38623,-0.63407,-0.47682,0.42927,1.6412,0.19476,-0.37187,-0.20432,0.47443,-0.01938,0.63412,0.46081,-0.80827,-0.85833,0.27258,-1.2166,0.67759,-0.4258,-0.90625,-0.14595,-0.79043,-0.60838,0.87268,-0.11433,1.2689,0.57386,-0.39843,0.79865,0.23865,-0.61279,-0.74536,0.33071,1.5811,1.7068,5.1031,-0.2394,2.4968,-1.2727,-0.65114,-0.10607,-1.0069
0.62226,-0.91377,-1.1906,-1.4358,-2.2117,0.22604,-1.2886,-2.4663,-1.382,-0.58918,-0.84546,-1.0992,-1.2189,-1.5624,-1.9426,-1.6725,-1.0315,0.22638,-0.64943,-0.28578,-0.40203,-0.52364,-1.4025,-1.6671,0.9278,1.7131,-1.4533,0.7593,0.20974,-1.3004,-0.84557,-0.56415,-2.6361,-0.37614,-0.33428,-0.3391,-0.23276,-0.1576,-0.30242,-1.8554,-1.6523,-1.4561,-1.1605
-1.6272,1.1727,0.12543,1.102,0.83197,1.3361,0.37102,1.1644,1.0723,0.39219,0.12218,0.70983,0.71194,0.85734,-0.32063,0.5556,0.59953,0.57134,0.11087,1.1991,0.64862,0.45186,0.75503,-0.46003,1.1174,2.0445,0.50161,1.1566,-0.075568,0.17403,0.37906,0.77792,0.73767,2.1676,-0.119,0.21103,-0.2931,0.23083,0.4165,-0.27709,0.045135,0.31069,-0.41958
0.44994,0.25555,-0.30538,-0.036801,0.52621,0.80754,1.1162,0.70056,0.70152,1.0724,0.99929,0.27114,-0.38973,0.98266,-0.29003,1.4114,0.65656,-0.79716,-0.29634,1.0173,1.0299,0.82581,1.1765,0.53844,0.89343,-0.19245,-1.4655,-1.1638,0.365,1.1458,-0.65469,-0.64867,0.42745,-0.31783,-0.26098,-0.54061,-0.039573,-0.54486,-0.46777,-0.23072,0.10876,0.27464,-0.96423
-1.6069,1.0539,0.45713,0.50985,0.19412,1.1703,2.5661,-1.07,-0.56926,0.31077,1.8162,0.86313,0.40065,1.3001,0.9342,1.1103,1.3117,0.49471,-0.3449,0.57263,-0.34701,0.31213,0.49665,-0.16976,0.51893,-0.37639,0.7082,-0.1251,-0.15414,0.498,0.10388,-0.64793,2.1129,1.6951,3.3436,1.3468,-0.43678,-0.040869,3.4735,0.108,0.43189,1.3046,-0.68947
